ResultId,¿Points?
23419.0,1
23420.0,1
23421.0,1
23422.0,1
23423.0,1
23424.0,1
23425.0,1
23426.0,1
23427.0,1
23428.0,1
23429.0,0
23430.0,0
23431.0,0
23432.0,0
23433.0,0
23434.0,0
23435.0,0
23436.0,0
23437.0,0
23438.0,0
23439.0,1
23440.0,1
23441.0,1
23442.0,1
23443.0,1
23444.0,1
23445.0,1
23446.0,1
23447.0,1
23448.0,1
23449.0,0
23450.0,0
23451.0,0
23452.0,0
23453.0,0
23454.0,0
23455.0,0
23456.0,0
23457.0,0
23458.0,0
23459.0,1
23460.0,1
23461.0,1
23462.0,1
23463.0,1
23464.0,1
23465.0,1
23466.0,1
23467.0,1
23468.0,1
23469.0,0
23470.0,0
23471.0,0
23472.0,0
23473.0,0
23474.0,0
23475.0,0
23476.0,0
23477.0,0
23478.0,0
23479.0,1
23480.0,1
23481.0,1
23482.0,1
23483.0,1
23484.0,1
23485.0,1
23486.0,1
23487.0,1
23488.0,1
23489.0,0
23490.0,0
23491.0,0
23492.0,0
23493.0,0
23494.0,0
23495.0,0
23496.0,0
23497.0,0
23498.0,0
23499.0,1
23500.0,1
23501.0,1
23502.0,1
23503.0,1
23504.0,1
23505.0,1
23506.0,1
23507.0,1
23508.0,1
23509.0,0
23510.0,0
23511.0,0
23512.0,0
23513.0,0
23514.0,0
23515.0,0
23516.0,0
23517.0,0
23518.0,0
23519.0,1
23520.0,1
23521.0,1
23522.0,1
23523.0,1
23524.0,1
23525.0,1
23526.0,1
23527.0,1
23528.0,1
23529.0,0
23530.0,0
23531.0,0
23532.0,0
23533.0,0
23534.0,0
23535.0,0
23536.0,0
23537.0,0
23538.0,0
23542.0,1
23543.0,1
23544.0,1
23545.0,1
23546.0,1
23547.0,1
23548.0,1
23549.0,1
23550.0,1
23551.0,1
23552.0,0
23553.0,0
23554.0,0
23555.0,0
23556.0,0
23557.0,0
23558.0,0
23559.0,0
23560.0,0
23561.0,0
23562.0,1
23563.0,1
23564.0,1
23565.0,1
23566.0,1
23567.0,1
23568.0,1
23569.0,1
23570.0,1
23571.0,1
23572.0,0
23573.0,0
23574.0,0
23575.0,0
23576.0,0
23577.0,0
23578.0,0
23579.0,0
23580.0,0
23581.0,0
23582.0,1
23583.0,1
23584.0,1
23585.0,1
23586.0,1
23587.0,1
23588.0,1
23589.0,1
23590.0,1
23591.0,1
23592.0,0
23593.0,0
23594.0,0
23595.0,0
23596.0,0
23597.0,0
23598.0,0
23599.0,0
23600.0,0
23601.0,0
23602.0,1
23603.0,1
23604.0,1
23605.0,1
23606.0,1
23607.0,1
23608.0,1
23609.0,1
23610.0,1
23611.0,1
23612.0,0
23613.0,0
23614.0,0
23615.0,0
23616.0,0
23617.0,0
23618.0,0
23619.0,0
23620.0,0
23621.0,0
23622.0,1
23623.0,1
23624.0,1
23625.0,1
23626.0,1
23627.0,1
23628.0,1
23629.0,1
23630.0,1
23631.0,1
23632.0,0
23633.0,0
23634.0,0
23635.0,0
23636.0,0
23637.0,0
23638.0,0
23639.0,0
23640.0,0
23641.0,0
23642.0,1
23643.0,1
23644.0,1
23645.0,1
23646.0,1
23647.0,1
23648.0,1
23649.0,1
23650.0,1
23651.0,1
23652.0,0
23653.0,0
23654.0,0
23655.0,0
23656.0,0
23657.0,0
23658.0,0
23659.0,0
23660.0,0
23661.0,0
23662.0,1
23663.0,1
23664.0,1
23665.0,1
23666.0,1
23667.0,1
23668.0,1
23669.0,1
23670.0,1
23671.0,1
23672.0,0
23673.0,0
23674.0,0
23675.0,0
23676.0,0
23677.0,0
23678.0,0
23679.0,0
23680.0,0
23681.0,0
23682.0,1
23683.0,1
23684.0,1
23685.0,1
23686.0,1
23687.0,1
23688.0,1
23689.0,1
23690.0,1
23691.0,1
23692.0,0
23693.0,0
23694.0,0
23695.0,0
23696.0,0
23697.0,0
23698.0,0
23699.0,0
23700.0,0
23701.0,0
23702.0,1
23703.0,1
23704.0,1
23705.0,1
23706.0,1
23707.0,1
23708.0,1
23709.0,1
23710.0,1
23711.0,1
23712.0,0
23713.0,0
23714.0,0
23715.0,0
23716.0,0
23717.0,0
23718.0,0
23719.0,0
23720.0,0
23721.0,0
23722.0,1
23723.0,1
23724.0,1
23725.0,1
23726.0,1
23727.0,1
23728.0,1
23729.0,1
23730.0,1
23731.0,1
23732.0,0
23733.0,0
23734.0,0
23735.0,0
23736.0,0
23737.0,0
23738.0,0
23739.0,0
23740.0,0
23741.0,0
23742.0,1
23743.0,1
23744.0,1
23745.0,1
23746.0,1
23747.0,1
23748.0,1
23749.0,1
23750.0,1
23751.0,1
23752.0,0
23753.0,0
23754.0,0
23755.0,0
23756.0,0
23757.0,0
23758.0,0
23759.0,0
23760.0,0
23761.0,0
23762.0,1
23763.0,1
23764.0,1
23765.0,1
23766.0,1
23767.0,1
23768.0,1
23769.0,1
23770.0,1
23771.0,1
23772.0,0
23773.0,0
23774.0,0
23775.0,0
23776.0,0
23777.0,0
23778.0,0
23779.0,0
23780.0,0
23781.0,0
23822.0,1
23823.0,1
23824.0,1
23825.0,1
23826.0,1
23827.0,1
23828.0,1
23829.0,1
23830.0,1
23831.0,1
23832.0,0
23833.0,0
23834.0,0
23835.0,0
23836.0,0
23837.0,0
23838.0,0
23839.0,0
23840.0,0
23841.0,0
23842.0,1
23843.0,1
23844.0,1
